transaction_id,vendor_id,vendor_name,department,invoice_number,amount,posting_datetime,approved_by,is_planted_anomaly,anomaly_type
T102966,V1070,"Evans, Alvarado and Mcmillan",IT,INV-16051,57854.4,2025-01-01 07:15:00,Dennis T.,False,
T100920,V1055,Horton-Cross,Marketing,INV-20215,69430.17,2025-01-01 08:13:00,Joshua P.,False,
T103939,V1018,Clark PLC,Operations,INV-62190,2427.95,2025-01-01 09:39:00,Jeremy R.,False,
T104212,V1086,Garrison and Sons,Marketing,INV-71536,11378.91,2025-01-01 10:19:00,John M.,False,
T105181,V1011,Stanley LLC,HR,INV-55738,49847.49,2025-01-01 11:27:00,Crystal A.,False,
T100270,V1033,Koch-Decker,Legal,INV-81118,51445.02,2025-01-01 11:42:00,Robert W.,False,
T101648,V1043,"Young, Caldwell and Lewis",Procurement,INV-47287,25970.87,2025-01-01 11:46:00,Donna S.,False,
T104676,V1002,Johnson-Davis,Procurement,INV-91169,9971.92,2025-01-01 11:54:00,Carlos J.,False,
T101556,V1034,Allen PLC,Legal,INV-27865,141809.67,2025-01-01 12:33:00,Tammy B.,False,
T101883,V1112,Grant Inc,Operations,INV-57086,70101.93,2025-01-01 12:45:00,Sharon K.,False,
T101876,V1074,Davis Group,Facilities,INV-96623,10082.81,2025-01-01 12:48:00,Sheila A.,False,
T100989,V1062,Donovan-Harris,HR,INV-59319,21431.4,2025-01-01 12:48:00,Teresa R.,False,
T101427,V1087,Bailey-Hoover,Legal,INV-98940,7806.95,2025-01-01 12:57:00,Kimberly D.,False,
T104727,V1112,Grant Inc,Legal,INV-76127,24240.27,2025-01-01 12:57:00,Katherine G.,False,
T103839,V1126,Freeman LLC,Procurement,INV-16840,43241.01,2025-01-01 13:20:00,Michael C.,False,
T101060,V1034,Allen PLC,Operations,INV-61327,189659.66,2025-01-01 13:44:00,Kyle K.,False,
T105964,V1050,Ramos PLC,Marketing,INV-80995,172506.35,2025-01-01 13:51:00,Amy S.,False,
T103506,V1011,Stanley LLC,Operations,INV-25864,114599.64,2025-01-01 14:09:00,Melissa M.,False,
T102568,V1012,Delacruz Group,Marketing,INV-45822,30157.35,2025-01-01 15:03:00,Nathaniel E.,False,
T105484,V1121,Daniels-Perry,HR,INV-34410,59223.78,2025-01-01 15:25:00,Shelby B.,False,
T101068,V1035,Dennis Inc,Marketing,INV-67438,25876.41,2025-01-01 16:03:00,Michael H.,False,
T101797,V1134,"Williams, Crane and Walker",Procurement,INV-70933,95953.98,2025-01-01 16:07:00,Timothy S.,False,
T105792,V1129,"Ferguson, Meadows and Vargas",Operations,INV-39098,3936.08,2025-01-01 16:32:00,Amber J.,False,
T103923,V1104,Campbell Ltd,Facilities,INV-36267,33592.7,2025-01-01 16:42:00,Louis W.,False,
T102061,V1033,Koch-Decker,HR,INV-19266,44642.22,2025-01-01 17:55:00,Amy B.,False,
T100364,V1121,Daniels-Perry,Legal,INV-28964,80350.58,2025-01-02 07:17:00,Vickie W.,False,
T101972,V1012,Delacruz Group,HR,INV-73185,55157.42,2025-01-02 07:24:00,Amy M.,False,
T103100,V1139,Oconnell Inc,Operations,INV-38548,115572.11,2025-01-02 10:10:00,Julie S.,False,
T105240,V1076,Martin-Ramos,IT,INV-42192,35722.17,2025-01-02 10:42:00,Raymond H.,False,
T106003,V1069,"Riggs, Roman and Rice",Operations,INV-55698,39989.99,2025-01-02 12:07:00,Tami L.,True,duplicate_payment
T102521,V1069,"Riggs, Roman and Rice",Operations,INV-55698,39989.99,2025-01-02 12:07:00,Tami L.,False,
T105153,V1055,Horton-Cross,Procurement,INV-52909,90280.36,2025-01-02 12:09:00,Christopher S.,False,
T105449,V1080,Fleming Ltd,Operations,INV-28825,56223.43,2025-01-02 12:24:00,Dawn C.,False,
T103156,V1033,Koch-Decker,Facilities,INV-95964,113135.79,2025-01-02 12:55:00,Victoria G.,False,
T105940,V1035,Dennis Inc,Procurement,INV-78422,25573.52,2025-01-02 13:01:00,Kayla B.,False,
T100287,V1087,Bailey-Hoover,HR,INV-49132,5911.56,2025-01-02 14:18:00,Angela W.,False,
T103734,V1139,Oconnell Inc,Procurement,INV-74315,97347.34,2025-01-02 14:27:00,Caleb J.,False,
T104455,V1139,Oconnell Inc,Procurement,INV-60793,81821.76,2025-01-02 14:36:00,Matthew S.,False,
T105816,V1126,Freeman LLC,Marketing,INV-70519,21447.0,2025-01-02 14:55:00,Heidi T.,False,
T103170,V1086,Garrison and Sons,Legal,INV-12248,10966.69,2025-01-02 15:13:00,Kathleen J.,False,
T104545,V1051,"Kidd, Huff and Novak",Legal,INV-99863,17230.93,2025-01-02 16:27:00,Jeremy G.,False,
T103879,V1097,Alvarado-Martinez,IT,INV-83473,1566.77,2025-01-02 17:19:00,Jonathan M.,False,
T106093,V9999,Meridian Consulting Partners LLC,Operations,INV-74327,7861.03,2025-01-02 17:25:00,Marcus T.,True,fabricated_invoice_benford
T105633,V1116,Larsen LLC,Marketing,INV-71616,22381.92,2025-01-03 07:36:00,Lauren W.,False,
T101831,V1062,Donovan-Harris,Procurement,INV-87894,19628.91,2025-01-03 08:19:00,Stephen M.,False,
T102378,V1043,"Young, Caldwell and Lewis",Procurement,INV-96005,24404.89,2025-01-03 08:21:00,Jennifer A.,False,
T101269,V1137,Marshall LLC,HR,INV-16366,6047.25,2025-01-03 09:33:00,Ralph N.,False,
T102017,V1035,Dennis Inc,Facilities,INV-35153,35352.54,2025-01-03 09:35:00,Rachel P.,False,
T106102,V9999,Meridian Consulting Partners LLC,Operations,INV-80911,5355.81,2025-01-03 10:40:00,Marcus T.,True,fabricated_invoice_benford
T102347,V1137,Marshall LLC,Operations,INV-91219,14430.25,2025-01-03 12:16:00,Natalie E.,False,
T106020,V1122,Price-Carrillo,Facilities,INV-21660,9880.25,2025-01-03 13:03:00,Renee K.,True,just_below_threshold
T105255,V1104,Campbell Ltd,HR,INV-43903,79149.78,2025-01-03 13:16:00,Roger M.,False,
T101180,V1116,Larsen LLC,IT,INV-37444,17130.77,2025-01-03 13:28:00,Savannah F.,False,
