invoice_id,date,vendor_id,requester_id,approver_id,amount,note
INV-1011,2025-01-02,V-007,EMP-009,EMP-018,3922.06,
INV-1642,2025-01-07,V-032,EMP-000,EMP-014,20629.73,
INV-1622,2025-01-07,V-031,EMP-020,EMP-013,12749.63,
INV-1171,2025-01-08,V-015,EMP-022,EMP-017,7561.39,
INV-1138,2025-01-08,V-018,EMP-007,EMP-010,4429.68,
INV-1464,2025-01-09,V-007,EMP-001,EMP-018,14815.92,
INV-1401,2025-01-09,V-034,EMP-015,EMP-021,11476.19,
INV-1302,2025-01-10,V-033,EMP-002,EMP-018,12277.45,
INV-1453,2025-01-12,V-029,EMP-021,EMP-019,7499.84,
INV-1063,2025-01-13,V-015,EMP-005,EMP-017,21171.78,
INV-1552,2025-01-13,V-029,EMP-024,EMP-017,8377.47,
INV-1233,2025-01-14,V-016,EMP-005,EMP-013,15916.22,
INV-1316,2025-01-14,V-005,EMP-007,EMP-019,21248.42,
INV-1191,2025-01-15,V-006,EMP-014,EMP-017,16701.93,
INV-1637,2025-01-16,V-017,EMP-023,EMP-013,18548.61,
INV-1239,2025-01-16,V-033,EMP-009,EMP-019,15493.68,
INV-1260,2025-01-16,V-025,EMP-002,EMP-017,17822.11,
INV-1350,2025-01-17,V-023,EMP-011,EMP-018,22794.79,
INV-1465,2025-01-18,V-015,EMP-006,EMP-013,2556.39,
INV-1428,2025-01-19,V-011,EMP-013,EMP-019,4342.56,
INV-1183,2025-01-19,V-024,EMP-012,EMP-017,11963.59,
INV-1427,2025-01-20,V-014,EMP-017,EMP-018,17396.36,
INV-1272,2025-01-22,V-022,EMP-002,EMP-018,20703.08,
INV-1581,2025-01-22,V-017,EMP-024,EMP-010,13077.73,
INV-1238,2025-01-23,V-028,EMP-016,EMP-003,22698.16,
INV-1487,2025-01-24,V-020,EMP-006,EMP-010,7613.19,
INV-1388,2025-01-25,V-029,EMP-007,EMP-003,14062.76,
INV-1472,2025-01-25,V-011,EMP-020,EMP-018,13407.04,
INV-1466,2025-01-25,V-028,EMP-019,EMP-010,16923.38,
INV-1338,2025-01-25,V-012,EMP-009,EMP-010,20712.0,
INV-1694,2025-01-26,V-RING1,EMP-021,EMP-014,11132.4,
INV-1479,2025-01-27,V-005,EMP-017,EMP-018,19931.34,
INV-1168,2025-01-27,V-033,EMP-011,EMP-019,15066.0,
INV-1646,2025-01-27,V-023,EMP-003,EMP-010,16208.82,
INV-1139,2025-01-28,V-034,EMP-004,EMP-021,1235.55,
INV-1574,2025-01-28,V-011,EMP-010,EMP-019,10906.37,
INV-1368,2025-01-29,V-011,EMP-024,EMP-017,10467.95,
INV-1639,2025-01-29,V-004,EMP-015,EMP-019,12332.15,
INV-1724,2025-01-29,V-RING4,EMP-014,EMP-021,8797.49,
INV-1452,2025-01-30,V-008,EMP-016,EMP-018,11044.64,
INV-1038,2025-01-30,V-031,EMP-004,EMP-003,7226.48,
INV-1661,2025-01-31,V-GH3,EMP-007,EMP-011,8934.68,"single-source, no PO backup on file"
INV-1291,2025-02-01,V-020,EMP-019,EMP-003,12107.61,
INV-1408,2025-02-01,V-026,EMP-016,EMP-019,20966.7,
INV-1471,2025-02-01,V-033,EMP-007,EMP-018,7316.95,
INV-1563,2025-02-02,V-013,EMP-006,EMP-021,18092.96,
INV-1455,2025-02-02,V-004,EMP-001,EMP-018,8367.01,
INV-1001,2025-02-03,V-014,EMP-001,EMP-010,9717.78,
INV-1702,2025-02-03,V-RING2,EMP-014,EMP-021,4392.4,
INV-1285,2025-02-04,V-020,EMP-020,EMP-010,3750.33,
INV-1074,2025-02-05,V-027,EMP-000,EMP-003,8836.68,
INV-1068,2025-02-05,V-012,EMP-012,EMP-010,6794.68,
INV-1647,2025-02-05,V-011,EMP-007,EMP-014,22904.79,
INV-1378,2025-02-07,V-030,EMP-007,EMP-018,7243.8,
INV-1624,2025-02-07,V-026,EMP-011,EMP-017,18341.01,
INV-1032,2025-02-08,V-027,EMP-005,EMP-021,11183.68,
INV-1494,2025-02-08,V-003,EMP-016,EMP-014,20161.78,
INV-1593,2025-02-08,V-017,EMP-020,EMP-018,9097.86,
INV-1094,2025-02-09,V-033,EMP-015,EMP-003,6699.15,
INV-1279,2025-02-09,V-021,EMP-007,EMP-010,18731.96,
INV-1288,2025-02-09,V-002,EMP-001,EMP-010,19985.96,
INV-1645,2025-02-09,V-026,EMP-023,EMP-010,6619.5,
INV-1342,2025-02-10,V-033,EMP-008,EMP-013,17490.89,
INV-1321,2025-02-10,V-030,EMP-014,EMP-010,275.24,
INV-1016,2025-02-10,V-015,EMP-001,EMP-003,21090.53,
INV-1241,2025-02-11,V-031,EMP-022,EMP-019,1902.75,
INV-1043,2025-02-11,V-015,EMP-018,EMP-021,1097.84,
INV-1108,2025-02-11,V-017,EMP-024,EMP-018,6166.68,
INV-1187,2025-02-11,V-021,EMP-019,EMP-010,9629.98,
INV-1577,2025-02-12,V-026,EMP-022,EMP-019,11805.48,
INV-1507,2025-02-12,V-030,EMP-001,EMP-014,16912.86,
INV-1248,2025-02-13,V-009,EMP-021,EMP-003,1751.13,
INV-1553,2025-02-13,V-030,EMP-003,EMP-017,10071.01,
INV-1527,2025-02-13,V-000,EMP-009,EMP-018,9399.02,
INV-1124,2025-02-14,V-017,EMP-010,EMP-019,6005.06,
INV-1523,2025-02-14,V-028,EMP-011,EMP-021,2588.22,
INV-1363,2025-02-14,V-029,EMP-017,EMP-013,14744.97,
INV-1426,2025-02-15,V-020,EMP-009,EMP-014,21804.3,
INV-1372,2025-02-17,V-017,EMP-004,EMP-021,14804.11,
INV-1595,2025-02-17,V-029,EMP-015,EMP-010,14029.64,
INV-1663,2025-02-17,V-GH3,EMP-007,EMP-011,9445.39,"single-source, no PO backup on file"
INV-1606,2025-02-18,V-014,EMP-013,EMP-018,2325.1,
INV-1296,2025-02-18,V-003,EMP-020,EMP-010,1722.0,
INV-1246,2025-02-18,V-021,EMP-014,EMP-021,10071.35,
INV-1555,2025-02-19,V-029,EMP-006,EMP-019,8456.96,
INV-1190,2025-02-20,V-018,EMP-007,EMP-013,10500.22,
