vendor_id,vendor_name,address,bank_account,phone,tax_id,category
V-000,"Ellis, Baker and Wright","969 Cox Dam Suite 101, Lake Ernest, TX 55834",GB05TCMM97848018451462,704.482.8148x932,HX-8809570,Raw Materials
V-001,Allen-Allen,"71822 Arroyo Expressway, Allisonchester, IL 71187",GB92YXWG46578713315098,793.301.0310,UK-8347382,Marketing Services
V-002,"Kennedy, Mueller and Aguirre","656 Owens Stream, Lake Deniseville, AR 53273",GB16XKZD33387262473178,908-501-3267,YY-6026064,Logistics
V-003,Mitchell-Horton,"34309 Julie Centers Apt. 978, North Susan, CO 24857",GB74CTCV36193990916998,343-353-4624x75107,PX-8384251,Raw Materials
V-004,Moore-Bass,"841 Joseph Coves, West Juan, IL 94559",GB84KGVU48740164005242,001-478-868-0112x8059,RP-2045053,Consulting
V-005,"Garcia, Deleon and Henson","22602 Patton Loop, West Erik, UT 14669",GB75MBPH37543303654145,+1-886-785-0142x9401,MQ-5698169,Logistics
V-006,Fletcher Inc,"6159 Alvarado Crossing, Williamchester, MD 53244",GB13WJRE36629946804436,001-495-377-7387,OZ-4895134,IT Equipment
V-007,Hernandez Inc,"176 Jennifer Lights Suite 632, Port Michelleville, WI 56225",GB46HFZW87083172788957,+1-986-587-2774x348,UI-4714345,Marketing Services
V-008,Taylor and Sons,"316 Rivera Mountain, Brownchester, MS 77057",GB21WAYS67054668893734,(270)365-6272x98069,UN-6272046,Office Supplies
V-009,Murphy-Juarez,"1708 Zoe Keys Apt. 100, East Mary, RI 20474",GB23HEPV19374529912419,3496663193,QX-9190586,Office Supplies
V-010,Hunter LLC,"1657 Ryan Street Suite 987, Grahamshire, KY 42746",GB16HCIO37996507527354,949-948-0831x36783,TQ-7014363,Marketing Services
V-011,"Wood, Tran and Cooper","Unit 8557 Box 4443, DPO AE 95041",GB81GKDX82337498941343,(924)308-2400x842,LD-0947775,IT Equipment
V-012,Everett-Woods,"1902 Lisa Hollow Apt. 318, Obrienbury, WI 68995",GB31MOOJ96499091334123,(681)220-6797,YY-3447134,Raw Materials
V-013,"Lawrence, Lara and Gonzalez","242 Brian Turnpike, Brookeshire, PW 38329",GB26ODOW46488771906594,4139990490,FE-8742967,Consulting
V-014,Ortiz-Morris,"6746 Shawn Island, Marcusfurt, VI 67950",GB44AVRO60385977034824,371.509.3248x086,TR-1712748,Office Supplies
V-015,Davenport-Baird,"3982 Joshua Turnpike, Morganhaven, KY 00837",GB32JXJS97278755886753,001-939-263-6057x662,HD-2895171,Raw Materials
V-016,Bowen Group,"74596 Melissa Walk, Finleyfort, VI 71413",GB06BTCH43161172400504,(856)523-8692x221,QQ-7923747,IT Equipment
V-017,Nolan Group,"PSC 8217, Box 5946, APO AP 33281",GB46OJGM71369594406409,+1-209-674-3953x39421,UV-7095214,Raw Materials
V-018,Thompson-Anderson,"842 Sloan Orchard Suite 517, East Karenbury, VI 89148",GB59XVMZ85160481754965,337-909-8593,FH-4612004,Office Supplies
V-019,Young PLC,"8692 Pena Village Suite 964, Lake Mitchellmouth, NV 31448",GB42LDVL85064317139005,529.731.8393,QZ-2904228,Facilities
V-020,Rodriguez Inc,"95024 David Manor Apt. 177, Williamville, NV 66540",GB92HTBX84700766177115,+1-621-924-9985x698,BC-8961183,Consulting
