date,promo,forecast,lower,upper
2026-01-01,0,1492.82,1191.95,1793.69
2026-01-02,1,2016.4,1715.53,2317.27
2026-01-03,0,1673.63,1372.76,1974.49
2026-01-04,0,1676.04,1375.17,1976.9
2026-01-05,0,1499.39,1198.52,1800.26
2026-01-06,0,1494.65,1193.79,1795.52
2026-01-07,1,2029.3,1728.43,2330.16
2026-01-08,0,1491.83,1190.97,1792.7
2026-01-09,0,1499.47,1198.6,1800.34
2026-01-10,0,1678.59,1377.72,1979.46
2026-01-11,0,1678.29,1377.42,1979.16
2026-01-12,0,1503.4,1202.53,1804.27
2026-01-13,1,2015.76,1714.89,2316.63
2026-01-14,0,1500.61,1199.74,1801.48
2026-01-15,1,2013.53,1712.67,2314.4
2026-01-16,0,1498.97,1198.1,1799.83
2026-01-17,0,1674.3,1373.44,1975.17
2026-01-18,0,1675.81,1374.94,1976.68
2026-01-19,0,1492.51,1191.64,1793.38
2026-01-20,0,1499.45,1198.59,1800.32
2026-01-21,0,1502.6,1201.73,1803.47
2026-01-22,0,1501.94,1201.07,1802.81
2026-01-23,0,1499.7,1198.83,1800.57
2026-01-24,0,1683.53,1382.66,1984.4
2026-01-25,0,1685.26,1384.39,1986.13
2026-01-26,0,1502.52,1201.65,1803.39
2026-01-27,1,2032.27,1731.4,2333.14
2026-01-28,0,1504.21,1203.34,1805.07
2026-01-29,0,1512.15,1211.28,1813.02
2026-01-30,0,1507.04,1206.17,1807.91
2026-01-31,0,1690.93,1390.06,1991.8
2026-02-01,0,1724.85,1423.98,2025.72
2026-02-02,0,1541.36,1240.49,1842.22
2026-02-03,0,1549.39,1248.52,1850.25
2026-02-04,0,1547.64,1246.77,1848.51
2026-02-05,0,1550.04,1249.17,1850.91
2026-02-06,0,1551.98,1251.11,1852.85
2026-02-07,0,1736.66,1435.79,2037.53
2026-02-08,0,1739.67,1438.8,2040.54
2026-02-09,0,1557.57,1256.7,1858.44
2026-02-10,0,1566.73,1265.86,1867.59
2026-02-11,0,1561.42,1260.55,1862.29
2026-02-12,0,1564.59,1263.72,1865.45
2026-02-13,0,1567.33,1266.46,1868.2
2026-02-14,0,1752.43,1451.56,2053.3
2026-02-15,0,1755.88,1455.01,2056.75
2026-02-16,0,1573.98,1273.11,1874.85
2026-02-17,0,1576.68,1275.81,1877.55
2026-02-18,0,1579.66,1278.79,1880.53
2026-02-19,0,1582.29,1281.42,1883.16
2026-02-20,0,1585.45,1284.58,1886.32
2026-02-21,1,2292.71,1991.84,2593.58
2026-02-22,0,1773.99,1473.12,2074.86
2026-02-23,0,1592.36,1291.49,1893.23
2026-02-24,0,1595.88,1295.01,1896.75
2026-02-25,0,1598.95,1298.08,1899.82
2026-02-26,0,1602.32,1301.45,1903.18
2026-02-27,0,1605.7,1304.84,1906.57
2026-02-28,0,1796.99,1496.12,2097.86
2026-03-01,0,1825.12,1524.25,2125.99
2026-03-02,0,1643.67,1342.81,1944.54
2026-03-03,0,1646.64,1345.77,1947.51
2026-03-04,0,1650.15,1349.28,1951.02
2026-03-05,0,1653.67,1352.8,1954.54
2026-03-06,0,1657.23,1356.36,1958.09
2026-03-07,0,1848.96,1548.1,2149.83
2026-03-08,0,1845.42,1544.55,2146.29
2026-03-09,0,1664.19,1363.32,1965.06
2026-03-10,0,1667.89,1367.02,1968.76
2026-03-11,1,2193.57,1892.7,2494.44
2026-03-12,0,1675.32,1374.45,1976.18
2026-03-13,0,1679.05,1378.18,1979.92
2026-03-14,0,1865.0,1564.13,2165.87
2026-03-15,0,1868.97,1568.1,2169.83
2026-03-16,0,1687.73,1386.86,1988.6
2026-03-17,0,1691.41,1390.54,1992.27
2026-03-18,0,1700.9,1400.03,2001.76
2026-03-19,0,1700.68,1399.81,2001.55
2026-03-20,0,1704.38,1403.52,2005.25
2026-03-21,0,1890.37,1589.5,2191.24
2026-03-22,0,1893.84,1592.97,2194.71
2026-03-23,0,1712.63,1411.77,2013.5
2026-03-24,0,1716.34,1415.47,2017.21
2026-03-25,0,1726.14,1425.27,2027.01
2026-03-26,0,1722.42,1421.55,2023.29
2026-03-27,0,1726.12,1425.25,2026.99
2026-03-28,0,1911.37,1610.5,2212.24
2026-03-29,1,2437.04,2136.18,2737.91
2026-03-30,0,1733.83,1432.97,2034.7
2026-03-31,0,1737.5,1436.63,2038.37
