date,revenue,promo
2022-01-01,1039.45,0
2022-01-02,992.61,0
2022-01-03,864.78,0
2022-01-04,798.95,0
2022-01-05,739.98,0
2022-01-06,1130.81,1
2022-01-07,844.69,0
2022-01-08,1019.87,0
2022-01-09,1027.87,0
2022-01-10,783.52,0
2022-01-11,748.45,0
2022-01-12,1017.41,1
2022-01-13,712.28,0
2022-01-14,819.75,0
2022-01-15,1072.16,0
2022-01-16,960.08,0
2022-01-17,644.62,0
2022-01-18,743.87,0
2022-01-19,881.47,0
2022-01-20,781.57,0
2022-01-21,842.87,0
2022-01-22,906.8,0
2022-01-23,1496.54,1
2022-01-24,821.34,0
2022-01-25,849.24,0
2022-01-26,970.98,0
2022-01-27,926.71,0
2022-01-28,822.53,0
2022-01-29,980.92,0
2022-01-30,1002.92,0
2022-01-31,879.56,0
2022-02-01,1262.66,1
2022-02-02,831.62,0
2022-02-03,946.53,0
2022-02-04,854.62,0
2022-02-05,1212.84,0
2022-02-06,1054.56,0
2022-02-07,980.04,0
2022-02-08,896.36,0
2022-02-09,937.01,0
2022-02-10,836.53,0
2022-02-11,831.79,0
2022-02-12,1102.51,0
2022-02-13,1145.81,0
2022-02-14,897.72,0
2022-02-15,899.75,0
2022-02-16,816.49,0
2022-02-17,815.55,0
2022-02-18,797.19,0
2022-02-19,1101.87,0
2022-02-20,1183.66,0
2022-02-21,920.17,0
2022-02-22,778.51,0
2022-02-23,916.3,0
2022-02-24,921.95,0
2022-02-25,1073.88,0
2022-02-26,1006.13,0
2022-02-27,1093.62,0
2022-02-28,1061.58,0
2022-03-01,1075.18,0
2022-03-02,994.08,0
2022-03-03,968.12,0
2022-03-04,986.75,0
2022-03-05,1211.08,0
2022-03-06,1087.35,0
2022-03-07,1036.81,0
2022-03-08,886.63,0
2022-03-09,1007.7,0
2022-03-10,1001.6,0
2022-03-11,950.54,0
2022-03-12,1175.71,0
2022-03-13,1130.27,0
2022-03-14,930.51,0
2022-03-15,1072.95,0
2022-03-16,936.01,0
2022-03-17,1041.64,0
2022-03-18,940.51,0
2022-03-19,1267.24,0
2022-03-20,1111.14,0
2022-03-21,994.5,0
2022-03-22,994.32,0
2022-03-23,1140.86,0
2022-03-24,1072.48,0
2022-03-25,1036.88,0
2022-03-26,1279.87,0
2022-03-27,1057.88,0
2022-03-28,1061.91,0
2022-03-29,1218.85,0
2022-03-30,1083.47,0
2022-03-31,1082.83,0
2022-04-01,1216.85,0
2022-04-02,1345.41,0
2022-04-03,1092.59,0
2022-04-04,965.45,0
2022-04-05,1114.61,0
2022-04-06,1047.37,0
2022-04-07,1208.26,0
2022-04-08,1086.18,0
2022-04-09,1119.4,0
2022-04-10,1597.69,1
2022-04-11,1223.98,1
2022-04-12,1108.27,0
2022-04-13,1115.78,0
2022-04-14,1486.23,1
2022-04-15,1321.3,0
2022-04-16,1433.34,0
2022-04-17,1310.43,0
2022-04-18,978.21,0
2022-04-19,1203.71,0
2022-04-20,1623.53,1
2022-04-21,1186.49,0
2022-04-22,1245.07,0
2022-04-23,1238.72,0
2022-04-24,1542.46,0
2022-04-25,1096.93,0
2022-04-26,1241.31,0
2022-04-27,1043.24,0
2022-04-28,1109.18,0
2022-04-29,1316.17,0
2022-04-30,1348.19,0
2022-05-01,1552.85,0
2022-05-02,1219.83,0
2022-05-03,1194.36,0
2022-05-04,1321.59,0
2022-05-05,1189.56,0
2022-05-06,1061.56,0
2022-05-07,1317.34,0
2022-05-08,1452.83,0
2022-05-09,1255.68,0
2022-05-10,1090.44,0
2022-05-11,1165.44,0
2022-05-12,1593.57,1
2022-05-13,1201.77,0
2022-05-14,1279.68,0
2022-05-15,1442.39,0
2022-05-16,1178.08,0
2022-05-17,1770.06,1
2022-05-18,1317.1,0
2022-05-19,1236.23,0
2022-05-20,1217.06,0
2022-05-21,1447.8,0
2022-05-22,1353.98,0
2022-05-23,1562.36,1
2022-05-24,1177.55,0
2022-05-25,1206.54,0
2022-05-26,1161.72,0
2022-05-27,1281.11,0
2022-05-28,1522.69,0
2022-05-29,1289.44,0
2022-05-30,1274.67,0
2022-05-31,1254.59,0
2022-06-01,1398.57,0
2022-06-02,1276.42,0
2022-06-03,1149.01,0
2022-06-04,1331.62,0
2022-06-05,1465.17,0
2022-06-06,1376.0,0
2022-06-07,1085.75,0
2022-06-08,1317.31,0
2022-06-09,1394.6,0
2022-06-10,1274.74,0
2022-06-11,2060.42,1
2022-06-12,1398.28,0
2022-06-13,1280.82,0
2022-06-14,1145.85,0
2022-06-15,1156.32,0
2022-06-16,1379.5,0
2022-06-17,1205.52,0
2022-06-18,1428.38,0
2022-06-19,1799.21,1
2022-06-20,1168.54,0
2022-06-21,1281.15,0
2022-06-22,1231.05,0
2022-06-23,1798.13,1
2022-06-24,1338.97,0
2022-06-25,1511.23,0
2022-06-26,1502.84,0
2022-06-27,1946.12,1
2022-06-28,1201.16,0
2022-06-29,1293.11,0
2022-06-30,1400.86,0
2022-07-01,1510.58,0
2022-07-02,1330.43,0
2022-07-03,1444.83,0
2022-07-04,1420.01,0
2022-07-05,1342.37,0
2022-07-06,1313.45,0
2022-07-07,1275.41,0
2022-07-08,1259.72,0
2022-07-09,1503.51,0
2022-07-10,1953.42,1
2022-07-11,1288.31,0
2022-07-12,1298.37,0
2022-07-13,1229.06,0
2022-07-14,1337.31,0
2022-07-15,1659.36,0
2022-07-16,1284.58,0
2022-07-17,1499.12,0
2022-07-18,1216.26,0
2022-07-19,1335.17,0
2022-07-20,1286.11,0
2022-07-21,1820.87,1
2022-07-22,1384.26,0
2022-07-23,1477.11,0
2022-07-24,1571.25,0
2022-07-25,1065.13,0
2022-07-26,1414.2,0
2022-07-27,1304.13,0
2022-07-28,1364.7,0
2022-07-29,1158.9,0
2022-07-30,1361.15,0
2022-07-31,1457.97,0
2022-08-01,1349.6,0
2022-08-02,1284.1,0
2022-08-03,1352.47,0
2022-08-04,1099.82,0
2022-08-05,1338.07,0
2022-08-06,1431.26,0
2022-08-07,1900.48,1
2022-08-08,1117.5,0
2022-08-09,1287.2,0
2022-08-10,1031.27,0
2022-08-11,1294.73,0
2022-08-12,1494.33,1
2022-08-13,1418.75,0
2022-08-14,1888.78,1
2022-08-15,1426.16,0
2022-08-16,1210.25,0
2022-08-17,1163.46,0
2022-08-18,1176.87,0
2022-08-19,1325.84,0
2022-08-20,1446.92,0
2022-08-21,1828.11,1
2022-08-22,1188.85,0
2022-08-23,1449.44,1
2022-08-24,1235.74,0
2022-08-25,1052.24,0
2022-08-26,1260.08,0
2022-08-27,1386.44,0
2022-08-28,1600.11,0
2022-08-29,1096.48,0
2022-08-30,1176.36,0
2022-08-31,1330.53,0
2022-09-01,1374.44,0
2022-09-02,1118.2,0
2022-09-03,1373.51,0
2022-09-04,1349.31,0
2022-09-05,1188.93,0
2022-09-06,1105.83,0
2022-09-07,1152.21,0
2022-09-08,1026.87,0
2022-09-09,1163.84,0
2022-09-10,1371.55,0
2022-09-11,1305.26,0
2022-09-12,1013.85,0
2022-09-13,1218.64,0
2022-09-14,1165.45,0
2022-09-15,1160.97,0
2022-09-16,1107.62,0
2022-09-17,1169.24,0
2022-09-18,1209.61,0
2022-09-19,1077.66,0
2022-09-20,1212.49,0
2022-09-21,1063.32,0
2022-09-22,1565.39,1
2022-09-23,1064.79,0
2022-09-24,1305.43,0
2022-09-25,1267.17,0
2022-09-26,1163.53,0
2022-09-27,1052.29,0
2022-09-28,969.94,0
2022-09-29,981.51,0
2022-09-30,1043.01,0
2022-10-01,1232.03,0
2022-10-02,1292.91,0
2022-10-03,1038.57,0
2022-10-04,1248.27,0
2022-10-05,937.33,0
2022-10-06,1079.11,0
2022-10-07,977.01,0
2022-10-08,1194.87,0
2022-10-09,1246.7,0
2022-10-10,880.22,0
2022-10-11,1065.64,0
2022-10-12,1184.42,0
2022-10-13,1009.07,0
2022-10-14,1058.03,0
2022-10-15,1399.85,0
2022-10-16,1199.25,0
2022-10-17,988.34,0
2022-10-18,863.67,0
2022-10-19,1070.42,0
2022-10-20,1368.24,1
2022-10-21,946.57,0
2022-10-22,1206.61,0
2022-10-23,1545.09,1
2022-10-24,1313.79,1
2022-10-25,1050.66,0
2022-10-26,911.07,0
2022-10-27,1076.15,0
2022-10-28,902.24,0
2022-10-29,1122.94,0
2022-10-30,1333.27,0
2022-10-31,1070.99,0
2022-11-01,1440.03,0
2022-11-02,1249.83,0
2022-11-03,1286.12,0
2022-11-04,1340.18,0
2022-11-05,1515.09,0
2022-11-06,1499.36,0
2022-11-07,1323.97,0
2022-11-08,1304.88,0
2022-11-09,1189.22,0
2022-11-10,1273.01,0
2022-11-11,1403.27,0
2022-11-12,1353.58,0
2022-11-13,1475.3,0
2022-11-14,1238.0,0
2022-11-15,1412.58,0
2022-11-16,1720.37,1
2022-11-17,1948.98,1
2022-11-18,1353.17,0
2022-11-19,1348.94,0
2022-11-20,1553.61,0
2022-11-21,1231.87,0
2022-11-22,1248.62,0
2022-11-23,1328.46,0
2022-11-24,1253.98,0
2022-11-25,1378.63,0
2022-11-26,1396.39,0
2022-11-27,1411.48,0
2022-11-28,1234.96,0
2022-11-29,1242.3,0
2022-11-30,1392.12,0
2022-12-01,1442.7,0
2022-12-02,1445.69,0
2022-12-03,1703.89,0
2022-12-04,1363.82,0
2022-12-05,1295.68,0
2022-12-06,1596.68,1
2022-12-07,1218.29,0
2022-12-08,1662.2,1
2022-12-09,1192.49,0
2022-12-10,1359.5,0
2022-12-11,1452.57,0
2022-12-12,1177.66,0
2022-12-13,1840.25,1
2022-12-14,1204.6,0
2022-12-15,1648.28,0
2022-12-16,1246.87,0
2022-12-17,1475.18,0
2022-12-18,1334.96,0
2022-12-19,1442.3,0
2022-12-20,1389.85,0
2022-12-21,1316.13,0
2022-12-22,1168.28,0
2022-12-23,1309.54,0
2022-12-24,1355.7,0
2022-12-25,1622.61,0
2022-12-26,1365.97,0
2022-12-27,1758.06,1
2022-12-28,1073.78,0
2022-12-29,1206.38,0
2022-12-30,1359.06,0
2022-12-31,1603.24,0
2023-01-01,1313.82,0
2023-01-02,844.53,0
2023-01-03,971.88,0
2023-01-04,1020.95,0
2023-01-05,843.84,0
2023-01-06,955.66,0
2023-01-07,1159.59,0
2023-01-08,1115.44,0
2023-01-09,836.53,0
2023-01-10,940.97,0
2023-01-11,942.65,0
2023-01-12,1291.46,1
2023-01-13,930.41,0
2023-01-14,1114.95,0
2023-01-15,1239.25,0
2023-01-16,1005.03,0
2023-01-17,1290.88,1
2023-01-18,951.2,0
2023-01-19,987.93,0
2023-01-20,851.65,0
2023-01-21,1627.18,1
2023-01-22,1168.8,0
2023-01-23,1342.07,1
2023-01-24,1060.8,0
2023-01-25,860.36,0
2023-01-26,861.21,0
2023-01-27,1021.23,0
2023-01-28,1184.23,0
2023-01-29,1201.81,0
2023-01-30,977.87,0
2023-01-31,1060.63,0
2023-02-01,1178.73,0
2023-02-02,1054.07,0
2023-02-03,1003.95,0
2023-02-04,1027.86,0
2023-02-05,1274.03,0
2023-02-06,1512.57,1
2023-02-07,1082.14,0
2023-02-08,974.77,0
2023-02-09,1473.17,1
2023-02-10,1108.46,0
2023-02-11,1363.01,0
2023-02-12,1156.81,0
2023-02-13,1039.16,0
2023-02-14,1505.07,1
2023-02-15,1157.67,0
2023-02-16,983.23,0
2023-02-17,1101.38,0
2023-02-18,1304.81,0
2023-02-19,1265.48,0
2023-02-20,1098.12,0
2023-02-21,1065.63,0
2023-02-22,1201.8,0
2023-02-23,1024.04,0
2023-02-24,1419.84,1
2023-02-25,1281.71,0
2023-02-26,1363.7,0
2023-02-27,992.41,0
2023-02-28,1010.54,0
2023-03-01,1034.48,0
2023-03-02,1123.18,0
2023-03-03,1036.62,0
2023-03-04,1273.5,0
2023-03-05,1373.59,0
2023-03-06,1085.85,0
2023-03-07,1565.33,1
2023-03-08,1121.16,0
2023-03-09,1203.38,0
2023-03-10,1191.83,0
2023-03-11,1272.85,0
2023-03-12,1325.98,0
2023-03-13,1251.21,0
2023-03-14,1202.45,0
2023-03-15,1140.79,0
2023-03-16,1232.74,0
2023-03-17,1093.07,0
2023-03-18,1502.27,0
2023-03-19,1469.64,0
2023-03-20,1219.83,0
2023-03-21,1213.01,0
2023-03-22,1186.42,0
2023-03-23,1708.64,1
2023-03-24,1181.03,0
2023-03-25,1419.76,0
2023-03-26,1486.46,0
2023-03-27,1176.99,0
2023-03-28,1176.35,0
2023-03-29,1130.45,0
2023-03-30,1145.54,0
2023-03-31,1083.0,0
2023-04-01,1593.59,0
2023-04-02,2175.39,1
2023-04-03,1379.6,0
2023-04-04,1115.31,0
2023-04-05,1326.76,0
2023-04-06,1392.9,0
2023-04-07,1230.24,0
2023-04-08,1978.11,1
2023-04-09,1253.92,0
2023-04-10,1306.96,0
2023-04-11,1191.19,0
2023-04-12,1309.03,0
2023-04-13,1557.12,1
2023-04-14,1348.23,0
2023-04-15,1685.57,0
2023-04-16,1405.15,0
2023-04-17,1206.2,0
2023-04-18,1115.96,0
2023-04-19,1293.52,0
2023-04-20,1268.05,0
2023-04-21,1181.67,0
2023-04-22,1557.14,0
2023-04-23,1465.28,0
2023-04-24,1235.92,0
2023-04-25,1288.12,0
2023-04-26,1444.47,0
2023-04-27,1404.07,0
2023-04-28,1338.39,0
2023-04-29,1600.61,0
2023-04-30,1412.57,0
2023-05-01,1454.16,0
2023-05-02,1378.25,0
2023-05-03,1322.47,0
2023-05-04,1412.45,0
2023-05-05,1298.79,0
2023-05-06,1612.55,0
2023-05-07,1620.33,0
2023-05-08,1100.68,0
2023-05-09,1501.59,0
2023-05-10,1092.71,0
2023-05-11,1331.91,0
2023-05-12,1494.89,0
2023-05-13,1542.54,0
2023-05-14,1418.12,0
2023-05-15,1378.7,0
2023-05-16,1506.68,0
2023-05-17,1218.81,0
2023-05-18,2055.03,1
2023-05-19,1407.78,0
2023-05-20,1462.46,0
2023-05-21,1532.78,0
2023-05-22,1319.18,0
2023-05-23,1508.83,0
2023-05-24,1497.81,0
2023-05-25,1255.18,0
2023-05-26,1388.6,0
2023-05-27,1513.65,0
2023-05-28,1758.99,0
2023-05-29,1299.24,0
2023-05-30,1598.01,0
2023-05-31,1435.1,0
2023-06-01,1405.71,0
2023-06-02,1373.47,0
2023-06-03,1532.32,0
2023-06-04,1479.96,0
2023-06-05,1456.01,0
2023-06-06,1323.37,0
2023-06-07,1227.98,0
2023-06-08,1411.88,0
2023-06-09,1268.45,0
2023-06-10,1546.83,0
2023-06-11,2065.37,1
2023-06-12,1844.34,1
2023-06-13,1659.78,0
2023-06-14,1462.51,0
2023-06-15,1574.16,0
2023-06-16,1277.0,0
2023-06-17,1564.01,0
2023-06-18,1664.39,0
2023-06-19,1355.52,0
2023-06-20,1553.6,0
2023-06-21,1338.17,0
2023-06-22,1432.26,0
2023-06-23,1401.89,0
2023-06-24,1661.0,0
2023-06-25,2117.68,1
2023-06-26,1434.67,0
2023-06-27,1438.27,0
2023-06-28,1872.79,1
2023-06-29,1512.0,0
2023-06-30,1486.6,0
2023-07-01,1721.25,0
2023-07-02,1592.25,0
2023-07-03,1542.86,0
2023-07-04,1436.86,0
2023-07-05,1429.16,0
2023-07-06,1470.69,0
2023-07-07,1632.72,0
2023-07-08,2004.74,1
2023-07-09,1726.3,0
2023-07-10,1264.14,0
2023-07-11,1478.57,0
2023-07-12,1616.0,0
2023-07-13,1504.31,0
2023-07-14,1470.9,0
2023-07-15,1654.88,0
2023-07-16,1634.86,0
2023-07-17,1424.53,0
2023-07-18,1369.15,0
2023-07-19,1418.18,0
2023-07-20,1466.26,0
2023-07-21,1367.16,0
2023-07-22,1531.65,0
2023-07-23,1467.31,0
2023-07-24,1479.52,0
2023-07-25,1493.39,0
2023-07-26,1460.08,0
2023-07-27,1531.97,0
2023-07-28,1442.03,0
2023-07-29,1655.57,0
2023-07-30,1643.67,0
2023-07-31,1914.74,1
2023-08-01,1459.15,0
2023-08-02,1644.02,0
2023-08-03,1376.33,0
2023-08-04,1352.99,0
2023-08-05,1645.45,0
2023-08-06,1622.79,0
2023-08-07,1273.5,0
2023-08-08,2053.16,1
2023-08-09,1398.38,0
2023-08-10,1295.96,0
2023-08-11,1519.5,0
2023-08-12,1649.47,0
2023-08-13,1438.05,0
2023-08-14,2117.71,1
2023-08-15,1550.86,0
2023-08-16,1388.84,0
2023-08-17,1541.53,0
2023-08-18,1399.83,0
2023-08-19,1558.55,0
2023-08-20,1486.76,0
2023-08-21,1432.02,0
2023-08-22,1915.54,1
2023-08-23,1371.61,0
2023-08-24,1291.67,0
2023-08-25,1376.73,0
2023-08-26,2070.63,1
2023-08-27,1394.73,0
2023-08-28,1641.13,1
2023-08-29,1405.71,0
2023-08-30,1103.41,0
2023-08-31,1365.37,0
2023-09-01,1384.93,0
2023-09-02,1658.91,0
2023-09-03,1464.18,0
2023-09-04,1394.93,0
2023-09-05,1745.83,1
2023-09-06,1805.64,1
2023-09-07,1391.98,0
2023-09-08,1277.7,0
2023-09-09,1601.63,0
2023-09-10,1390.0,0
