customerNumber,customerName,contactLastName,contactFirstName,country
 ,Atelier graphique,Schmitt,Carine ,France
112,Signal Gift Stores,King,Jean,USA
114,"Australian Collectors, Co.",Ferguson,Peter,Australia
119,La Rochelle Gifts,Labrune,Janine ,France
121,Baane Mini Imports,Bergulfsen,Jonas ,Null
124,Mini Gifts Distributors Ltd.,Nelson,Susan,USA
 ,Havel & Zbyszek Co,Piestrzeniewicz,Zbyszek ,Germany
128,"Blauer See Auto, Co.",Keitel,Roland,Germany
129,Mini Wheels Co.,Murphy,Julie,USA
131,Land of Toys Inc.,Lee,Kwai,USA
141,Euro+ Shopping Channel,Freyre,Diego ,Spain
144,"Volvo Model Replicas, Co",Berglund,Christina ,Singapore
145,John Wholesale Imports,Petersen,Jytte ,Germany
146,"Saveley & Henriot, Co.",Saveley,Mary ,France
148,"Dragon Souveniers, Ltd.",Natividad,Eric,Singapore
151,Muscle Machine Inc,Young,Jeff,Null
157,John Classics Inc.,Leong,Kelvin,USA
161,Technics Stores Inc.,Hashimoto,Juri,USA
166,Handji Gifts& Co,Victorino,Wendy,Singapore
167,Herkku Gifts,Oeztan,Veysel,Germany
168,                American Souvenirs Inc,Franco,Keith,Null
169,Porto Imports Co.,de Castro,Isabel ,Germany
172,"La Corne D'abondance, Co.",Bertrand,Marie,France
173,Cambridge Collectables Co.,Tseng,Jerry,USA
175,Gift Depot Inc.,King,Julie,USA
177,John Souveniers Co.,Kentary,Mory,China
181,Shamlodhiya Inc.,Frick,Michael,USA
186,"Toys of Finland, Co.",Karttunen,Matti,Finland
187,"AV Stores, Co.",Ashworth,Rachel,UK
189,"Clover Collections, Co.",Cassidy,Dean,Singapore
198,Shamlodhiya,Taylor,Leslie,USA
201,"UK Collectables, Ltd.",Devon,Elizabeth,UK
202,Canadian Gift Exchange Network,Tamuri,Yoshi ,Finland
204,Online Mini Collectables,Barajas,Miguel,USA
205,Toys4GrownUps.com,Young,Julie,USA
206," Asian Shopping Network, Co",Walker,Brydey,Singapore
209,Mini Caravy,Citeaux,Caravy,France
211,"John Kong Collectables, Co.",Gao,Mike,Germany
216,Enaco Distributors,Saavedra,Eduardo ,Spain
219,Boards & Toys Co.,Young,Mary,USA
227,Shamlodhiya Collectables,Ibsen,Palle,Germany
237,  John Resellers,Camino,Alejandra ,Spain
239,Collectable Mini Designs Co.,Thompson,Valarie,USA
240,giftsbymail.co.uk,Bennett,Helen ,UK
